episode,accuracy,total_reward
1,0.4,-252.50000000000026
2,0.605,-137.60000000000005
3,0.72,-60.79999999999998
4,0.955,279.69999999999993
5,0.975,292.09999999999997
6,0.965,287.2
7,0.95,274.6
8,0.97,285.0
9,0.975,292.4
10,0.965,287.79999999999995
11,0.97,291.29999999999995
12,0.965,282.7
13,0.95,267.19999999999993
14,0.965,294.09999999999997
15,0.97,288.59999999999997
16,0.965,288.4
17,0.96,279.79999999999995
18,0.965,292.4
19,0.96,268.99999999999994
20,0.985,297.3
21,0.965,282.1
22,0.985,300.7
23,0.955,266.09999999999997
24,0.965,281.0
25,0.975,290.9
26,0.98,285.1
27,0.965,284.4
28,0.965,286.6
29,0.955,271.3
30,0.98,299.9
31,0.975,289.09999999999997
32,0.955,269.69999999999993
33,0.955,281.5
34,0.96,272.6
35,0.975,294.2
36,0.955,271.29999999999995
37,0.975,293.0
38,0.965,280.4
39,0.955,274.6
40,0.95,274.59999999999997
41,0.955,278.69999999999993
42,0.96,279.5
43,0.95,274.6
44,0.955,279.79999999999995
45,0.96,283.4
46,0.95,266.79999999999995
47,0.965,275.5
48,0.945,266.29999999999995
49,0.955,276.4
50,0.965,275.9
51,0.955,264.59999999999997
52,0.96,285.50000000000006
53,0.95,270.79999999999995
54,0.98,290.79999999999995
55,0.99,301.7
56,0.955,271.20000000000005
57,0.965,283.29999999999995
58,0.99,305.1
59,0.95,272.5
60,0.975,295.09999999999997
61,0.97,289.5
62,0.96,276.79999999999995
63,0.975,296.4
64,0.96,282.1
65,0.965,277.0
66,0.955,280.9
67,0.94,267.70000000000005
68,0.965,275.90000000000003
69,0.98,296.5
70,0.945,273.5
71,0.98,295.3
72,0.96,277.19999999999993
73,0.96,278.6
74,0.985,303.9
75,0.98,301.6
76,0.97,274.79999999999995
77,0.98,298.4
78,0.98,301.0
79,0.95,271.5
80,0.99,306.2
81,0.94,279.0999999999999
82,0.965,279.79999999999995
83,0.97,279.9
84,0.97,290.1
85,0.95,268.4
86,0.94,257.4
87,0.97,283.5
88,0.95,270.09999999999997
89,0.97,296.4
90,0.94,259.2
91,0.975,296.0
92,0.96,267.9
93,0.955,281.3999999999999
94,0.97,283.9
95,0.97,289.59999999999997
96,0.97,294.69999999999993
97,0.96,290.6
98,0.96,277.69999999999993
99,0.955,282.0
100,0.96,279.1
